date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:09	0/0	---M--	200	added ('OK')	text/plain	etag:%220-62b0707c-557bf5eaeed0da27;;;%22	https://mp.velocitydeveloper.com/robots.txt		(from )
16:03:09	47317/47317	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202024%2008:03:08%20GMT	https://mp.velocitydeveloper.com/	D:/Irwan/SME%20Web/umkm/mp.velocitydeveloper.com/index.html	(from )
16:03:09	110147/110147	---M-Z	200	added ('OK')	text/css	etag:%221ae43-65f3fe66-fc522710c9344010;gz%22	https://mp.velocitydeveloper.com/wp-includes/css/dist/block-library/style.min.css?ver=6.4.5	D:/Irwan/SME%20Web/umkm/mp.velocitydeveloper.com/wp-includes/css/dist/block-library/style.min75e4.css	(from https://mp.velocitydeveloper.com/)
16:03:10	21084/21084	---MCZ	200	added ('OK')	application/rss+xml	etag:%22427ede0845be70c0c07a25b7e63631bd%22	https://mp.velocitydeveloper.com/feed/	D:/Irwan/SME%20Web/umkm/mp.velocitydeveloper.com/index.html	(from https://mp.velocitydeveloper.com/)
16:03:10	101/101	---M--	200	added ('OK')	text/css	etag:%2265-65f3fe66-f187d39c31cceac8;;;%22	https://mp.velocitydeveloper.com/wp-content/plugins/velocity-addons/public/css/velocity-addons-public.css?ver=1.1.1	D:/Irwan/SME%20Web/umkm/mp.velocitydeveloper.com/wp-content/plugins/velocity-addons/public/css/velocity-addons-publicc64e.css	(from https://mp.velocitydeveloper.com/)
16:03:10	10642/10642	---M-Z	200	added ('OK')	text/css	etag:%222992-65f3fe66-b3a564ad24ca384;gz%22	https://mp.velocitydeveloper.com/wp-content/plugins/velocity-iklan/public/css/velocity-iklan-public.css?ver=1.0.0	D:/Irwan/SME%20Web/umkm/mp.velocitydeveloper.com/wp-content/plugins/velocity-iklan/public/css/velocity-iklan-public8a54.css	(from https://mp.velocitydeveloper.com/)
16:03:10	750/750	---M-Z	200	added ('OK')	application/rss+xml	etag:%22427ede0845be70c0c07a25b7e63631bd%22	https://mp.velocitydeveloper.com/comments/feed/	D:/Irwan/SME%20Web/umkm/mp.velocitydeveloper.com/comments/index.html	(from https://mp.velocitydeveloper.com/)
16:03:10	982/982	---M-Z	200	added ('OK')	text/css	etag:%223d6-65f3fe66-4abbfbf6a177a876;gz%22	https://mp.velocitydeveloper.com/wp-content/themes/velocity/style.css?ver=2.4.4	D:/Irwan/SME%20Web/umkm/mp.velocitydeveloper.com/wp-content/themes/velocity/stylefc3c.css	(from https://mp.velocitydeveloper.com/)
16:03:11	1625/1625	---M-Z	200	added ('OK')	text/css	etag:%22659-65f3fe66-4dbc6a7763777e19;gz%22	https://mp.velocitydeveloper.com/wp-content/themes/velocity-mp-child/css/custom.css?ver=2.4.4.1710489190	D:/Irwan/SME%20Web/umkm/mp.velocitydeveloper.com/wp-content/themes/velocity-mp-child/css/custom170f.css	(from https://mp.velocitydeveloper.com/)
16:03:11	1074/1074	---M-Z	200	added ('OK')	text/css	etag:%22432-65f4f6b0-ee9a92545e242784;gz%22	https://mp.velocitydeveloper.com/wp-content/themes/velocity-mp-child/style.css?ver=1.0.0	D:/Irwan/SME%20Web/umkm/mp.velocitydeveloper.com/wp-content/themes/velocity-mp-child/style8a54.css	(from https://mp.velocitydeveloper.com/)
